Spiklet1,Spiklet2,Spiklet3,Spiklet4,T01,T02,T04,T04(110711),T05
13,22,4,20,12,10,18,8,22
23,4,30,17,17,17,24,12,30
3,26,24,15,4,31,6,19,21
4,4,25,16,7,27,18,3,22
6,23,30,17,27,28,23,9,23
7,20,3,18,17,30,24,8,30
23,21,30,3,11,19,8,9,27
25,7,24,11,9,12,9,9,30
16,19,30,16,2,25,4,21,8
17,20,20,17,19,4,5,5,30
19,21,21,18,18,5,5,15,19
20,24,22,28,28,6,7,2,30
14,12,23,27,6,7,22,22,16
19,15,30,5,22,2,23,16,17
19,14,6,18,23,25,24,17,18
11,19,7,12,27,14,25,18,19
19,4,30,19,28,14,26,19,20
1,10,7,1,29,26,27,20,21
14,11,8,10,4,13,28,21,22
11,12,9,11,5,14,3,22,23
14,11,10,1,7,15,18,23,24
16,12,11,11,15,19,2,24,25
17,14,12,20,24,10,6,25,26
21,16,14,13,5,4,7,26,27
22,17,30,11,27,28,4,27,29
23,18,22,6,6,2,5,28,30
24,19,30,13,26,3,23,29,22
25,20,19,14,27,30,5,4,30
27,21,20,15,15,6,22,5,27
25,22,21,16,15,25,27,4,30
21,23,22,17,27,31,13,4,13
30,24,23,18,9,12,27,5,30
21,25,24,19,10,8,2,12,27
19,26,26,20,11,23,18,28,30
15,27,30,21,12,24,2,4,8
8,14,2,22,13,25,2,19,30
19,5,30,23,14,26,3,21,27
24,19,27,24,23,27,5,22,30
26,24,30,25,8,28,12,23,9
18,6,6,26,7,29,9,24,13
18,10,30,27,5,30,10,25,30
20,11,14,28,22,15,11,26,6
24,18,30,8,5,12,12,27,30
25,12,26,9,28,13,13,12,31
25,2,30,10,21,3,14,9,32
26,12,7,17,22,8,15,10,9
27,13,30,18,23,10,16,11,30
19,27,13,19,20,12,17,12,2
17,18,14,18,10,14,18,13,30
18,20,30,14,11,15,19,14,7
21,21,15,17,12,16,23,15,30
12,8,30,26,13,17,24,5,1
13,26,20,27,14,20,25,6,30
14,2,30,26,15,10,8,3,4
15,8,27,26,16,8,9,4,30
16,16,30,14,17,3,8,18,18
10,2,17,15,18,10,25,17,19
23,4,30,17,13,12,2,18,30
24,14,8,18,12,13,3,19,5
25,15,13,22,13,11,4,20,30
24,14,14,20,14,13,5,21,10
23,15,15,11,15,15,6,23,11
17,20,16,8,16,8,7,2,12
11,21,17,18,17,24,22,3,13
21,22,18,26,18,8,22,26,14
21,21,19,18,20,31,23,18,15
16,22,20,27,21,8,27,19,30
17,24,21,10,23,10,28,18,4
18,25,22,11,25,12,22,16,30
19,21,23,15,2,13,8,18,4
18,13,24,16,3,15,9,3,30
17,3,25,17,23,16,2,8,12
11,27,26,5,16,18,17,6,14
11,27,27,18,17,19,28,15,15
19,13,28,8,18,20,2,16,16
18,14,29,9,15,4,8,16,17
19,15,30,10,2,19,6,16,30
19,2,25,11,8,5,8,3,5
25,17,30,12,9,21,22,22,30
13,18,17,13,8,22,23,25,20
26,21,30,14,7,15,6,26,21
25,9,31,15,8,16,9,4,30
17,2,32,16,10,13,2,3,19
23,17,27,2,16,13,20,11,20
27,10,28,3,21,2,21,12,30
23,11,30,28,26,12,28,28,5
25,12,16,10,28,27,29,7,30
6,13,30,14,25,28,7,8,25
16,14,31,10,24,29,18,3,30
14,15,32,27,5,30,10,6,6
2,2,18,15,7,23,11,7,9
,13,19,25,8,27,12,8,10
,5,20,28,26,6,13,9,30
